method,goal,result,steps_or_iters,final_x,final_mu,residual,note
Direct Newton from original left anchor,solve final relay mu,CONVERGED_WRONG_BRANCH,5,-0.7662949749761511,-1.3854840962851955,0,left root instead of requested positive branch
Naive Newton parameter continuation,replay relay mu schedule,CONVERGED_WRONG_BRANCH,30,-0.7662949749761511,-1.3854840962851955,0,follows original negative branch when mu turns back down
Newton at exact fold,solve mu=-1 double root,PASS_SLOW,24,-8.409944555241174e-8,-1,3.552713678800501e-15,multiplicity destroys quadratic convergence
NRII direct baton from left anchor,solve final relay mu,WRONG_BRANCH,0,-0.7662953222440803,-1.3854840962851955,3.999760629369575e-7,baton remains attached to negative branch
Krawczyk centered at exact fold,certify box around x=0,FAIL,0,0,-1,0,derivative interval contains zero and unique-root condition cannot hold at double root
Pure pseudo-arclength,track through fold to x>1,PASS,30,1.0237764590592275,-1.3830121953081371,1.1102230246251565e-16,72 augmented corrector updates
NRII relay graph,track through fold to x>1,PASS,30,1.0276300401633864,-1.3854840962851955,6.661338147750939e-15,28 NRII-Krawczyk-Newton steps plus 2 pseudo-arclength steps
