iteration,forward_error,backward_error
0,0.9683867481844036,5.926671732198162e-17
1,0.7255700010342258,8.751334598646471e-17
2,0.5472811476793327,6.272012904647671e-17
3,0.5251271498375625,6.678116734755e-17
4,0.6576220492392562,6.37608381112609e-17
5,0.4839502067831217,7.452411886030096e-17
