working_dps,forward_error,time_ms
20,3.1021225325656530359e-6,1959.4912890024716
25,2.2361917828963602009e-11,1925.524646998383
30,4.1513596738018045444e-16,1937.4640100068063
40,3.839589185465798225e-27,2007.9550269947504
50,3.2083027649094871979e-36,1980.9488200044143
