method,forward_error,backward_error,reported_rank,rank_indicator,time_ms
double_LU,0.9683867481844036,5.926671732198162e-17,128,,0.6238249989110045
double_QR,0.67592393492876,6.318547521251392e-17,128,,0.5332009968697093
double_CPQR,0.67592393492876,6.318547521251392e-17,128,0.00013126045726849763,0.42633300472516567
double_SVD_lstsq,0.02687112341817766,2.6950849971527406e-16,127,5.792115083918513e-19,2.64576399786165
