residual_dps,forward_error_after_one_correction,backward_error_after_one_correction,relative_correction_norm,double_correction_time_ms
18,5.661389130614749e-05,5.506215421575714e-17,0.9684448337994843,0.12040800356771797
20,6.835833643906932e-06,5.63139516602583e-17,0.9683937618763274,0.12374400102999061
22,2.4072206401520502e-08,7.000846372661164e-17,0.9683867728830081,0.13655200018547475
24,1.894311462368352e-10,6.218270589347831e-17,0.968386748378764,0.1300329968216829
26,3.400583281420487e-12,5.749235920902993e-17,0.9683867481809145,0.11363899830030277
30,4.009766105865891e-16,8.101173315759614e-17,0.9683867481844032,0.13848499656887725
40,3.260925810812634e-16,6.622687561696449e-17,0.9683867481844034,0.13482999929692596
60,3.260925810812634e-16,6.622687561696449e-17,0.9683867481844034,0.19715300004463643
80,3.260925810812634e-16,6.622687561696449e-17,0.9683867481844034,0.12284300464671105
