p,best_m,best_residual,best_P,min_den,cheb_tail_ratio,passes_1e8
8,2,0.033629335367800814,-0.50901647290773699,0.25293011675141125,0.0010677859723165239,0
9,2,0.0097586223640082972,-0.5403505399609988,0.28852793225394718,0.0025608645961355519,0
10,2,0.0093581556969489794,-0.56209904936863531,0.29375232311469296,0.00073156773858883443,0
11,2,0.022324542977062753,-0.57560524225478371,0.28306008601224569,7.6502869239509277e-05,0
12,2,0.026346051583663783,-0.57962171091941983,0.27807775189701966,5.0428618604146503e-05,0
13,2,0.020710111753068319,-0.57397098683548964,0.28504893184801694,3.6262293188291454e-05,0
14,2,0.0089678802139928713,-0.5616783179589192,0.29641981855405636,1.3758322368078396e-05,0
15,2,0.004083071349750114,-0.54706696263249943,0.30164905358290683,3.5967188033121875e-06,0
16,4,0.0014685745126856238,-0.5500830262449059,0.082610060637391083,4.8188536652104382e-06,0
17,4,0.0033711710978183472,-0.55554517429404926,0.081906272594193724,1.0582397430241624e-06,0
18,4,0.0062175134680636495,-0.55868797723904118,0.077426808978086473,1.7089406124745549e-06,0
19,4,0.0066313771266203721,-0.55914082557108524,0.076531112154836545,9.9179589901769264e-07,0
20,2,0.00088387393978200826,-0.55275712030089708,0.30301157248910954,2.9073374085936667e-07,0
21,4,0.0020107834880912618,-0.55402521235534941,0.086095861895262693,5.3016285950359847e-08,0
22,4,0.00081936356364914747,-0.55082469308520321,0.088422503092128338,2.2718045146726366e-09,0
23,6,4.2568601588016307e-06,-0.55175187942107984,0.02311527278844339,1.119393403223638e-08,0
24,6,0.001216176877322471,-0.55313191178365706,0.022258382629360352,3.2648935295148992e-09,0
25,6,0.0018415328257300983,-0.55383528166610241,0.020944656965560159,6.5717033742023193e-09,0
26,6,0.0017663331486949924,-0.55375083447249274,0.021144324260792862,1.3014824381987146e-09,0
27,4,0.00017244973021810633,-0.55156092189252581,0.090024784452814421,1.1704835312645567e-10,0
28,6,0.00042639559980812991,-0.55223996667494046,0.024782502092128338,1.8535782461860292e-10,0
29,6,0.00024445540895971318,-0.55147911292030105,0.02541338016118903,2.2568623605659523e-10,0
30,8,0.00011679478804687535,-0.55188919918619739,0.0063431147171275912,2.5500086388107673e-11,0
31,8,0.00042276113221229603,-0.55223585260946617,0.0059589146587292526,4.476290040086545e-12,0
32,8,0.0005453184369936053,-0.55237453441228868,0.0056627547147401758,6.064838110133206e-13,0
33,8,0.00046854586639717558,-0.55228767266477352,0.0058865259199555207,2.2329438355788261e-13,0
34,6,4.0619093811595684e-05,-0.55171061151302769,0.026356238900263073,1.2617095074290159e-12,0
35,8,8.1982536244652702e-05,-0.5518497184571175,0.0070861883835586547,6.2835033368080181e-14,0
36,10,5.6633648689868651e-05,-0.55169243363390852,0.0017123501026737559,1.2460803397599346e-13,0
37,10,6.8215374087277509e-05,-0.55183410284459711,0.001709603393296317,2.1040438911306568e-14,0
38,10,0.00013826359081926896,-0.55191354305411122,0.0015903453314064604,3.6591282603662925e-16,0
39,12,0.00013104580004957874,-0.5519053590093479,0.00069676717512765786,1.1541105320877424e-14,0
40,8,0.00011356568763667983,-0.55162779716215027,0.0073097190070354852,2.2152297065822617e-15,0
41,8,2.85528197869529e-06,-0.55175346991251173,0.00763477854491531,3.2811976180027386e-16,0
42,10,1.1263008647452465e-05,-0.5517694904264443,0.0020151600099688506,5.7183886216271317e-17,0
43,14,2.2797833297086117e-05,-0.55173083815725177,0.00052136280261218194,5.0366790494592513e-18,0
