factor,dt,newton_initial_jacobian,branch_min_abs_jacobian,newton_ok,newton_iterations,newton_line_search_trials,newton_min_alpha,newton_residual,newton_P,newton_reason,nrii_ok,nrii_declared_p,nrii_pade_m,nrii_residual,nrii_P,nrii_pade_min_den,cheb_tail_ratio,branch_reference_P,branch_error_abs,root_count,root0,root1,root2,newton_matches_branch,nrii_matches_branch
0.80000000000000004,1.095890410958904,0.20000000000000007,0.61266251776452096,1,4,5,0.5,7.4086666348296173e-14,-0.48837567285222999,pass,1,36,8,1.4804525576714629e-12,-0.48837567285427341,0.0071944721328165125,1.4937703865241076e-15,-0.48837567285212241,2.1510015990600095e-12,1,-0.48837567285212241,nan,nan,1,1
0.90000000000000002,1.2328767123287672,0.099999999999999992,0.61266186275255097,1,4,6,0.25,8.5975205890919262e-17,-0.52151686619602533,pass,1,58,21,8.8374912236496192e-09,-0.52151685476443255,0.0014844149958924849,6.7362571603623147e-19,-0.52151686619602544,1.1431592894517451e-08,1,-0.52151686619602544,nan,nan,1,1
0.94999999999999996,1.3013698630136985,0.050000000000000114,0.61266153523685796,1,3,6,0.125,5.6654042308069447e-13,-0.53704743894297846,pass,1,55,11,9.6863696784970382e-09,-0.53704742719629983,0.010264692854792234,2.2075818847200515e-19,-0.53704743894229146,1.174599162379053e-08,3,-0.53704743894229146,0.14497622409966821,0.39207121484262325,1,1
0.97999999999999998,1.3424657534246573,0.02000000000000016,0.61266133872853201,1,5,9,0.0625,5.8094375117527318e-15,-0.54597460286535493,pass,1,71,29,1.6281813977022338e-09,-0.54597460476287585,0.0021479420918291618,1.5876474106781434e-19,-0.54597460286534816,1.8975276905308647e-09,3,-0.54597460286534816,0.095403967231951839,0.45057063563339639,1,1
0.98999999999999999,1.3561643835616437,0.01000000000000012,0.61266127323267838,1,5,10,0.03125,6.3241386027138366e-15,-0.54888273849917146,pass,1,87,30,2.3863341930847867e-09,-0.54888274124346581,0.0011805863192163009,2.0822225575524728e-19,-0.54888273849916414,2.7443016747952242e-09,3,-0.54888273849916414,0.082941846640500458,0.46594089185866372,1,1
0.995,1.3630136986301369,0.0050000000000000999,0.61266124047093129,1,5,11,0.015625,6.585278024872651e-15,-0.55032400433755702,pass,1,79,29,2.4506666598845436e-10,-0.55032400405759452,0.0035323320757526867,1.7392082395294214e-19,-0.55032400433754947,2.799549481125041e-10,3,-0.55032400433754947,0.077199187532109012,0.47312481680544044,1,1
0.999,1.3684931506849314,0.0010000000000001162,0.61266121427229958,1,5,14,0.001953125,8.2545256960686796e-14,-0.5514708544402791,pass,1,84,29,1.8342686993118828e-09,-0.55147085235594462,0.022335496505147236,7.2266907501003761e-19,-0.5514708544401854,2.0842407799648299e-09,3,-0.55147085444018529,0.072808859722073474,0.47866199471811188,1,1
1,1.3698630136986301,7.9844806565507832e-17,0.61266120771705268,0,0,0,1,0.099999999999999936,-0.29999999999999999,singular_jacobian_at_iterate,1,74,27,4.3543570418903206e-09,-0.55175671494769052,0.0058590051983605255,2.5666745861832283e-19,-0.55175671000652937,4.9411611469096783e-09,3,-0.55175671000652937,0.071737717887383409,0.480018992119146,0,1
1.0009999999999999,1.3712328767123285,-0.00099999999999979446,0.61266120116830058,1,4,11,0.0078125,3.1031856121940555e-17,0.48136547839808402,pass,1,79,31,6.9061407996490795e-09,-0.55204221474230974,0.01003554755574378,1.6825660954563419e-19,-0.55204222256868074,7.8263709957226979e-09,3,-0.55204222256868085,0.070676744170596772,0.48136547839808402,0,1
1.0049999999999999,1.376712328767123,-0.0049999999999997781,0.6126611749740225,1,6,13,0.03125,6.5714202732711151e-17,0.48665007572929281,pass,1,51,13,8.6746562142808476e-10,-0.55318083986706434,0.0012603203546640582,1.8823929701634893e-19,-0.5531808408448794,9.7781505115079881e-10,3,-0.5531808408448794,0.066530765115586685,0.4866500757292927,0,1
1.01,1.3835616438356164,-0.0099999999999999603,0.61266114225832269,1,6,12,0.0625,1.0033886907852731e-16,0.49304076989167372,pass,1,74,29,2.0866930260176055e-09,-0.55459638328248462,0.0052178629701101374,2.3137713681032981e-19,-0.55459638561896041,2.3364757906207956e-09,3,-0.55459638561896041,0.061555615727286697,0.49304076989167372,0,1
1.02,1.3972602739726028,-0.02,0.61266107675697856,1,6,11,0.125,5.2739523046937216e-17,0.50517654665214096,pass,1,83,30,2.4635106261678927e-09,-0.55740168570385973,0.0098365838602640504,4.9458234914103243e-19,-0.55740168842563431,2.721774583491765e-09,3,-0.55740168842563431,0.052225141773493265,0.50517654665214107,0,1
