method,contiguous_success_limit,first_failed_stress,farthest_isolated_success,successful_grid_points,total_grid_points
Newton,38.09430360462073,49.17018822686445,38.09430360462073,27,121
Newton+LineSearch,774743758476.9889,1000000000000,774743758476.9889,120,121
Newton+Aitken,488.9663655552986,631.1330261503444,488.9663655552986,37,121
Newton+Anderson,2.967840931861858,3.830741619638933,1000000000000,45,121
Broyden->Newton,2.299322783394984,2.967840931861858,1000000000000,74,121
PseudoTransient->Newton,801113.5907736407,1034035.4581780485,801113.5907736407,66,121
NRII->Newton,38.09430360462073,49.17018822686445,38.09430360462073,27,121
