dt_s,off_i_A,off_domain_valid,on_i_A,on_domain_valid,newton_converged,newton_cycle_period,relay_converged,relay_mode,relay_duty,relay_i_A,relay_v_V,relay_residual_inf,relay_updates,nrii_max_residual_inf
1e-07,2.989999752530996,False,3.0139997465317467,False,False,2,True,SLIDING,0.41667708203141274,3.0,10.000499937507811,1.1363132657038477e-13,1,1.639747365667077e-15
3e-07,2.969997818323038,False,3.041997656384129,False,False,2,True,SLIDING,0.4166979049523095,3.0,10.001499437710859,5.290212712338871e-14,1,8.875278983966339e-16
1e-06,2.89997752865097,False,3.1399715362912284,False,False,2,True,SLIDING,0.4167707032875573,3.0,10.004993757802746,8.787415239908114e-14,1,1.6210990883003262e-15
3e-06,2.699843123583755,False,3.419681764984188,False,False,2,True,SLIDING,0.41697799916977996,3.0,10.01494396014944,1.8318679906315083e-15,1,1.897787482718627e-15
1e-05,2.000000000000001,False,4.394088669950738,False,False,2,True,SLIDING,0.41769547325102885,3.0,10.049382716049383,2.220446049250313e-15,1,8.881784197001252e-16
3e-05,0.04245283018867925,False,7.089622641509433,False,False,2,True,SLIDING,0.41967871485943764,2.999999999999999,10.144578313253012,8.881784197001252e-16,1,3.1086244689504383e-15
5e-05,-1.7777777777777781,False,9.555555555555555,False,False,2,True,SLIDING,0.42156862745098045,3.0000000000000004,10.23529411764706,1.7763568394002505e-15,1,2.886579864025407e-15
