family,primary_repeated_redirect_limit,disable_after_first_failed_specialist_limit,primary_redirects,fail_disable_redirects,primary_success_fraction,fail_disable_success_fraction
Newton,38.09428588705192,38.09428588705192,0,0,0.0,0.0
LineSearch,38.09428588705192,38.09428588705192,808,808,1.0,1.0
Aitken,81.91917815098697,81.91917815098697,793,793,1.0,1.0
Anderson,2.299316489133852,2.299316489133852,815,813,0.9975460122699386,0.998769987699877
Broyden,13.724362174573288,17.714711621859216,821,196,0.1242387332521315,0.4795918367346938
PseudoTransient,38.09428588705192,38.09428588705192,808,808,1.0,1.0
NRII,8.237744862210326,29.513310036077502,831,108,0.0,0.0
