method,contiguous_success_limit,first_failed_stress,farthest_isolated_success,successful_grid_points,total_grid_points,total_redirects,successful_redirects,redirect_success_fraction
Newton,38.094285887051917,49.170174930243533,38.094285887051917,27,121,0,0,0
Newton->LineSearch->Newton,38.094285887051917,49.170174930243533,38.094285887051917,27,121,808,808,1
Newton->Aitken->Newton,81.919178150986966,105.73712634405641,81.919178150986966,30,121,793,793,1
Newton->Anderson->Newton,2.2993164891338513,2.9678412748283769,102256518.25635712,22,121,815,813,0.99754601226993866
Newton->Broyden->Newton,13.724362174573288,17.714711621859216,13.724362174573288,23,121,821,102,0.12423873325213154
Newton->PseudoTransient->Newton,38.094285887051917,49.170174930243533,38.094285887051917,27,121,808,808,1
Newton->NRII->Newton,8.2377448622103273,10.632863865897313,8.2377448622103273,21,121,831,0,0
