method,contiguous_success_limit,first_failed_stress,farthest_isolated_success,successful_grid_points,total_grid_points,total_redirects,successful_redirects,redirect_success_fraction
Newton,4862.4623623303651,6276.2201569126801,4862.4623623303651,46,121,0,0,0
Newton->LineSearch->Newton,4862.4623623303651,6276.2201569126801,4862.4623623303651,46,121,1376,1376,1
Newton->Aitken->Newton,37462.05401818097,48354.122053414998,37462.05401818097,54,121,1306,1306,1
Newton->Anderson->Newton,136.48012760689841,176.16163665149853,600227883629.60559,72,121,1020,1020,1
Newton->Broyden->Newton,176.16163665149853,227.38051884826945,176.16163665149853,33,121,1430,30,0.02097902097902098
Newton->PseudoTransient->Newton,4862.4623623303651,6276.2201569126801,4862.4623623303651,46,121,1376,1376,1
Newton->NRII->Newton,227.38051884826945,293.49125799728131,227.38051884826945,34,121,1434,0,0
