family,directional_24_limit,fixed_alternation_24_limit,information_redirect_24_limit,redirect_vs_newton,redirect_vs_fixed_alternation,redirect_total,redirect_successful,redirect_success_fraction
Newton,38.09428588705192,38.09428588705192,38.09428588705192,1.0,1.0,0,0,0.0
LineSearch,774743753527.3214,38.09428588705192,38.09428588705192,1.0,1.0,808,808,1.0
Aitken,488.966384271464,136.4801276068984,81.91917815098697,2.150432177515393,0.6002278836296043,793,793,1.0
Anderson,2.967841274828377,2.299316489133852,2.299316489133852,0.060358566530193954,1.0,815,813,0.9975460122699386
Broyden,2.299316489133852,38.09428588705192,13.724362174573288,0.360273512286475,0.360273512286475,821,102,0.1242387332521315
PseudoTransient,801114.4868595613,29.513310036077502,38.09428588705192,1.0,1.2907493547990687,808,808,1.0
NRII,38.09428588705192,2.967841274828377,8.237744862210326,0.21624620780751527,2.775668945667148,831,0,0.0
