Ne,DOF,dt_s,duration_s,steps,wall_time_s,steps_per_second,dof_steps_per_second,ns_per_dof_step,release_time_over_tb,median_force_over_F0,mean_force_over_F0,contact_steps,ordinary_newton_exact_FB_corner_hard_fails,max_NRII_residual_rel_inf,ImpulseResponseBaton_residual_rel_inf,max_NCP_residual,max_complementarity_product_abs,NRII_order,response_order
50,102,6.857603183183574e-07,0.00012245719969970666,179,0.00047181600007206725,379385.1839968521,38697288.76767891,25.841603684525538,1.036,0.9996819073878335,0.9585585188390385,147,147,2.939386858540738e-11,1.1150142605580449e-16,8.888949847652595e-16,2.8391998105971105e-17,64,64
200,402,1.7144007957958936e-07,0.00012245719969970666,715,0.00548695499992391,130309.06942191347,52384245.90760922,19.089708798399297,1.0115,0.9999840390709541,0.9851121601922708,577,577,3.098103337480066e-11,1.1150142605580449e-16,8.883717750255056e-16,5.812563112836691e-17,64,64
1000,2002,3.4288015915917866e-08,0.00012245719969970666,3572,0.33326400599980843,10718.229198751374,21457894.85590025,46.602894026439465,1.0030999999999999,0.9999995378620978,0.9954837474263379,2865,2865,2.4903864303345856e-11,2.676034225339306e-16,8.882156735974446e-16,9.061118096907775e-17,64,64
5000,10002,6.857603183183574e-09,0.00012245719969970666,17858,8.894441030000053,2007.7709144134822,20081724.68596365,49.79651975305495,1.0009299999999999,0.9999999846510911,0.9985358713590955,14298,14298,1.2980262312491624e-10,1.4272182535142976e-16,7.294729431564669e-14,9.90341153285342e-17,64,64
