dt_s,steps,max_midpoint_resid,max_state_err_midpoint_oracle,max_state_err_continuous,max_flux_err_Wb,max_emf_err_V,elapsed_s
1.9999999999999999e-07,50000,4.3346402855970467e-16,3.3190117321169055e-12,0.52256207167881208,7.3516471943393705e-11,1.5426765758414944e-05,0.0095530000000000007
9.9999999999999995e-08,100000,3.7036346212104831e-16,5.191846952357082e-12,0.13210458903508637,1.8494584533962368e-11,3.9422823231605389e-06,0.017984
4.9999999999999998e-08,200000,3.3653635433950058e-16,2.0742407791374262e-11,0.033066549627854609,4.6256735546405152e-12,9.8751347562065401e-07,0.032939999999999997
2e-08,500000,3.3184548587760626e-16,4.1715852994173019e-11,0.0052916931340839645,7.4013588275321291e-13,1.580245256469574e-07,0.087985999999999995
1e-08,1000000,2.7126738355587321e-16,9.7295504986050219e-11,0.0013229328321999296,1.8503457504928377e-13,3.9506352277406959e-08,0.195965
