component,frequency_Hz,NRII_flux_amp_Wb,analytic_flux_amp_Wb,flux_rel_amp_error,NRII_emf_amp_V,analytic_emf_amp_V,emf_rel_amp_error
relative_rotation_carrier,900,9.9999908832722402e-10,1.0000000000000001e-09,9.1167277604454834e-07,5.6548703514607363e-06,5.6548667764616275e-06,6.3219864413913788e-07
lower_area_sideband,36700,7.4999176812075586e-11,7.4999999999999987e-11,1.0975838992010917e-05,1.7294285322910403e-05,1.7294467558011809e-05,1.0537190624359228e-05
upper_area_sideband,38500,7.5000633617640405e-11,7.4999999999999987e-11,8.4482352055844413e-06,1.8142859744164682e-05,1.8142697574481052e-05,8.9385651149323509e-06
