epsA,carrier_flux_amp_Wb,lower_sideband_flux_amp_Wb,upper_sideband_flux_amp_Wb,carrier_emf_amp_V,lower_sideband_emf_amp_V,upper_sideband_emf_amp_V,flux_zero_crossings,emf_zero_crossings
0,9.9999922775390948e-10,1.8580364241577446e-18,1.6882666340752437e-18,5.6548711399001905e-06,4.284508021623757e-13,4.0839690253728882e-13,18,17
0.14999999999999999,9.9999908832722402e-10,7.4999176812075586e-11,7.5000633617640405e-11,5.6548703514607363e-06,1.7294285322910403e-05,1.8142859744164682e-05,18,681
