drive,pure_ok,pure_iters,pure_res,oneshot_ok,oneshot_p,oneshot_res,reciprocal_ok,reciprocal_rungs,candidate_trials,total_newton_burst_iters,reciprocal_res,total_ms,accepted_theta,accepted_p
190,0,40,9.5589528680633,0,-1,0,1,6,21,41,4.0372911382875e-12,6512.89399,0.3;0.4;0.5;0.7;0.7;0.7,80;24;24;24;16;16
195,0,40,9.9225775719855,0,-1,0,0,1,2,4,553732934321.56,4377.737884,0.3,192
