case,success,outer_solver,outer_iters,outer_res,em_solver,flow_solver,thermal_solver,mean_T,max_T,liquid_fraction,coil_I,nrii_res,em_res,flow_res,thermal_res,handoffs
weak-coupling,1,fixed-point,11,1.5617260716100764e-05,GMRES,Picard,ordinary-Newton,0.49797646747578722,0.61403293485686194,0.0013870060641853622,0.7282848460504,8.8823262980874951e-17,4.7815541242676255e-08,4.1666025074604818e-09,6.737943536450075e-13,0
skin-effect-contrast,1,fixed-point,11,1.9939912755081447e-05,GMRES,Picard,ordinary-Newton,0.49512534219697651,0.62133445298181,0.0022145029660989028,0.75597869925869132,1.3766657085134693e-16,4.9788770229606627e-08,1.0353728116530014e-07,3.1730174043786974e-13,1
strong-convection,1,fixed-point,11,1.3012717601903337e-05,GMRES,Newton-Krylov,ordinary-Newton,0.49724695397885083,0.624875591680499,0.0025935277197284465,0.76412800650443458,1.0657707355532509e-16,4.9266382291108073e-08,6.5720762165710767e-11,2.773267726574602e-13,10
phase-boundary,1,fixed-point,17,1.6104923134598426e-05,GMRES,Picard,semismooth-active-set,0.4962259860177895,0.60050706427957068,0.00017963255303482517,0.75969491315048532,3.9952850056090838e-17,4.5767863795646002e-08,9.3748937612936345e-08,1.7793156070542826e-11,17
strong-global-coupling,1,Anderson,6,1.4237398570665565e-05,GMRES,Picard,ordinary-Newton,0.49921045614801973,0.61805230770923869,0.0051357386455635097,0.87480975861875643,8.8796157926562813e-17,4.9055925658383482e-08,2.0135287881473118e-08,7.6463835263496094e-12,2
