drive,pure_ok,pure_iters,pure_init_res,pure_res,pure_min_alpha,pure_ms,seed_p,seed_safe,seed_res,seed_tail,seed_min_den,seed_min_n,seed_min_p,hybrid_ok,hybrid_iters,hybrid_init_res,hybrid_res,hybrid_min_alpha,predictor_ms,hybrid_newton_ms,hybrid_total_ms
64,1,4,1.6059091199528,2.6645352591004e-14,1,1.016087,16,1,0.0042988491220903,1.4657284327862e-09,0.016726040138419,0.12251805575998,0.12263660634073,1,2,0.0042988491220903,2.6645352591004e-14,1,2.788947,0.5194,3.308347
68,1,4,1.8128784125329,2.6645352591004e-14,1,0.982677,16,1,0.024024626772347,8.5323099119408e-09,0.0065771439318167,0.12251707790315,0.12262930768158,1,2,0.024024626772347,2.6645352591004e-14,1,2.66948,0.535734,3.205214
70,1,4,1.9187362422134,5.4158370598831e-13,1,0.992001,16,1,0.061953572589847,1.9421048793834e-08,0.0037819975031376,0.12252091624439,0.12263235456312,1,2,0.061953572589847,7.2364830939662e-13,1,2.654366,0.516677,3.171043
72,1,5,2.0260607375507,2.7533531010704e-14,1,1.257735,16,1,0.17115248603389,4.2707007015296e-08,0.0020666416431494,0.12255996353027,0.12266275958215,1,3,0.17115248603389,2.7533531010704e-14,1,3.058035,0.758155,3.81619
74,1,5,2.1347726185084,2.3095788830925e-12,1,1.253749,16,1,0.52538995546138,9.0960243377005e-08,0.0010269893660906,0.11871739895959,0.12277365447162,1,3,0.52538995546138,2.3092638912203e-14,1,2.652294,0.774699,3.426993
76,1,5,2.2447979241555,1.9579199482469e-14,0.25,1.326628,24,1,0.68204461384081,2.117311499677e-12,8.6818367780966e-05,0.12249059367243,0.12258948490052,1,3,0.68204461384081,1.9402208629001e-14,1,6.233355,0.991661,7.225016
77,1,6,2.3002813528558,1.9291003366027e-14,0.03125,2.080456,24,1,1.5011470201345,4.041251368383e-12,5.63307061484e-05,0.12252624830415,0.12259299925184,1,3,1.5011470201345,2.077563998987e-14,1,3.994294,0.771655,4.765949
78,0,40,2.3560676088087,2.3448893139198,2.373951949416e-30,9.704253,24,1,3.1906582239453,7.5075161318823e-12,3.7859195346335e-05,0.11183256897876,0.12260691380919,1,3,3.1906582239453,5.976320432555e-12,1,3.969317,0.759006,4.728323
79,0,40,2.4121487681705,2.3901282096907,1.2734297591956e-29,9.76302,24,1,6.6787663768404,1.3609367866995e-11,2.6352151229947e-05,0.064407612640159,0.12263810135086,1,4,6.6787663768404,2.2264362902491e-14,1,4.53808,1.009467,5.547547
80,0,40,2.4685171693304,2.4394063388924,1.6029513731506e-29,9.650583,80,1,3.3166059213828,4.7024617035487e-36,0.00015173016884235,0.12244791659024,0.12259293258569,1,3,3.3166059213828,1.9446552562863e-14,1,67.903801,0.757804,68.661605
82,0,40,2.582086301731,2.5562577074475,4.3292707735438e-30,9.58763,80,1,2.6837712070866,2.9974377762744e-35,2.299300863888e-05,0.12244900844164,0.12258424559434,1,4,2.6837712070866,2.8284487470577e-14,1,39.330423,1.033232,40.363655
84,0,40,2.696718585131,2.6507377459373,1.018722196335e-19,10.698908,64,1,10.270205028359,8.285472881794e-27,1.5463286150129e-05,0.12244182399736,0.12257702206288,1,4,10.270205028359,3.4339481937712e-14,1,26.23443,1.015325,27.249755
85,0,40,2.7544167667069,2.7112552283196,5.749791893955e-30,9.536795,64,1,11.207869672659,8.8670096674493e-27,3.7398113308548e-05,0.12243634669649,0.12257404121173,1,4,11.207869672659,6.1579570060187e-13,1,25.798833,1.03198,26.830813
86,0,40,2.8123611911321,2.7390446182891,1.9348516678933e-26,10.341527,64,1,35.961912472056,9.4627031498591e-27,0.00020735833907979,0.12243125729336,0.12257152850298,1,5,35.961912472056,5.5524932449825e-14,1,40.560306,1.251506,41.811812
87,0,40,2.8705457723606,2.8225619125388,6.3544293222369e-28,9.874806,64,1,78.878498827405,1.0085226908727e-26,0.00018510840828279,0.12242658676725,0.12256952197165,1,5,78.878498827405,6.9383881580151e-11,1,38.985922,1.251035,40.236957
88,0,40,2.9289646166832,2.902350038719,7.200279699081e-29,23.212027,96,1,872843.17207693,2.1327017585457e-43,0.00021242571555873,0.1224223714313,0.12256806251503,0,40,872843.17207693,760812.51957994,3.3432981880379e-29,108.239525,9.561331,117.800856
