method,limit_24_stages,limit_48_stages,gain_48_over_24,gain_vs_newton_24,gain_vs_newton_48
Newton,38.094285887051917,4862.4623623303651,127.64282750298503,1,1
Newton<->LineSearch,38.094285887051917,4862.4623623303651,127.64282750298503,1,1
Newton<->Aitken,136.48012760689841,103982.25997917021,761.88571774103775,3.5826929007556854,21.38469199982374
Newton<->Anderson,2.2993164891338513,2.2993164891338513,1,0.06035856653019394,0.00047287080450158792
Broyden<->Newton,38.094285887051917,4862.4623623303651,127.64282750298503,1,1
PseudoTransient<->Newton,29.513310036077502,3767.1623419771613,127.64282750298516,0.77474375352732228,0.77474375352732305
NRII<->Newton,2.9678412748283769,38.094285887051917,12.835688421125155,0.077907780805444457,0.0078343610805441787
