method,contiguous_success_limit,first_failed_stress,farthest_isolated_success,successful_grid_points,total_grid_points
Newton,38.094285887051917,49.170174930243533,38.094285887051917,27,121
Newton<->LineSearch,38.094285887051917,49.170174930243533,38.094285887051917,27,121
Newton<->Aitken,136.48012760689841,176.16163665149853,136.48012760689841,32,121
Newton<->Anderson,2.2993164891338513,2.9678412748283769,13052311120.852003,23,121
Broyden<->Newton,38.094285887051917,49.170174930243533,38.094285887051917,27,121
PseudoTransient<->Newton,29.513310036077502,38.094285887051917,29.513310036077502,26,121
NRII<->Newton,2.9678412748283769,3.8307392106307709,2.9678412748283769,17,121
