method,contiguous_success_limit,first_failed_stress,farthest_isolated_success,successful_grid_points,total_grid_points
Newton,4862.4623623303651,6276.2201569126801,4862.4623623303651,46,121
Newton<->LineSearch,4862.4623623303651,6276.2201569126801,4862.4623623303651,46,121
Newton<->Aitken,103982.25997917021,134215.03497866285,103982.25997917021,58,121
Newton<->Anderson,2.2993164891338513,2.9678412748283769,360273512286.47382,29,121
Broyden<->Newton,4862.4623623303651,6276.2201569126801,4862.4623623303651,46,121
PseudoTransient<->Newton,3767.1623419771613,4862.4623623303651,3767.1623419771613,45,121
NRII<->Newton,38.094285887051917,49.170174930243533,38.094285887051917,27,121
